NodeID;Estimate Node As Orphaned;Reverse Related Objects;Reverse Linked Object Count;Reverse Embedded Object Count;Linked Content Object Count;Url in content;Related Object Count;Embedded Content Object Count;Url;Name;Image;Image Caption;Text Line One;Text Line Two
3959;1;0;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/row-ad-portal-dummy-image;ROW Ad Portal Dummy Image;row-ad-portal-dummy-image.jpg;;;
3960;1;0;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/homepage-ad-portal-masthead;Homepage Ad Portal Masthead;homepage-ad-portal-masthead.jpg;Inspire patients to see the possibilites.;;
3961;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-market-my-practice;Ad Portal Masthead - Market My Practice;ad-portal-masthead-market-my-practice.jpg;Market My Practice;;
3962;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-brand-my-practice;Ad Portal Masthead - Brand My Practice;ad-portal-masthead-brand-my-practice.jpg;Brand My Practice;;
3963;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-web-assets;Ad Portal Masthead - Web Assets;ad-portal-masthead-web-assets.jpg;Web Assets;;
3964;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-brand-assets;Ad Portal Masthead - Brand Assets;ad-portal-masthead-brand-assets.jpg;Brand Assets;;
3965;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-host-an-event;Ad Portal Masthead - Host an Event;ad-portal-masthead-host-an-event.jpg;Host an Event;;
3966;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-educate-my-patients;Ad Portal Masthead - Educate My Patients;ad-portal-masthead-educate-my-patients.jpg;Educate My Patients;;
3967;0;1;0;0;0;0;0;0;http://tc/media/row-ad-portal/images/internal-page-mastheads/ad-portal-masthead-educate-my-staff;Ad Portal Masthead - Educate My Staff;ad-portal-masthead-educate-my-staff.jpg;Educate My Staff;;
4766;0;1;0;0;0;0;0;0;http://tc/media/coolfit-landing-pages/coolfit-landing-page-hero-image;CoolFit Landing Page Hero Image;coolfit-landing-page-hero-image.jpg;;;
4769;0;1;0;2;0;0;0;0;http://tc/media/coolfit-landing-pages/cool-fit-applicator;Cool Fit Applicator;cool-fit-applicator.jpg;;;
4784;0;1;0;1;0;0;0;0;http://tc/media/coolfit-landing-pages/introducing-coolfit;Introducing CoolFit;introducing-coolfit.jpg;;;
4787;0;1;0;1;0;0;0;0;http://tc/media/coolfit-landing-pages/applicator-region-uk;Applicator Region UK;applicator-region-uk.jpg;;;
4788;0;1;0;1;0;0;0;0;http://tc/media/coolfit-landing-pages/applicator-usage-uk;Applicator Usage UK;applicator-usage-uk.jpg;;;
5154;0;1;0;1;0;0;0;0;http://tc/media/test-image-001;Test Image 001;test-image-001.jpg;;;
5155;0;1;1;0;0;0;0;0;http://tc/media/test-image-002;Test Image 002;test-image-002.jpg;;;
5159;0;0;0;0;0;1;0;0;http://tc/media/test-image-003;Test Image 003;test-image-003.jpg;;;
131;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/node_131;;;;;
133;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/node_133;;;;;
134;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/node_134;;;;;
135;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/node_135;;;;;
136;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/node_136;;;;;
137;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/node_137;;;;;
4707;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/lose-that-muffin-top;Lose That Muffin Top;lose-that-muffin-top.jpg;Lose That Muffin Top;;
4708;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-women/say-goodbye-to-belly-fat;Say Goodbye to Belly Fat;say-goodbye-to-belly-fat.jpg;Say Goodbye to Belly Fat;;
139;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/node_139;;;;;
140;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/node_140;;;;;
141;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/node_141;;;;;
142;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/node_142;;;;;
143;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/node_143;;;;;
4709;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/lose-the-love-handles;Lose the Love Handles;lose-the-love-handles.jpg;Lose the Love Handles;;
4710;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/how-it-works-for-men/no-special-diets-or-surgery;No Special Diets or Surgery;no-special-diets-or-surgery.jpg;No Special Diets or Surgery;;
4704;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/homepage/transform-yourself-with-coolsculpting;Transform yourself with CoolSculpting;transform-yourself-with-coolsculpting.jpg;Transform yourself with CoolSculpting;;
4705;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/homepage/freeze-your-fat-away;Freeze Your Fat Away;freeze-your-fat-away.jpg;Freeze Your Fat Away;;
4706;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/homepage/no-surgery-or-downtime;No Surgery or Downtime;no-surgery-or-downtime.jpg;No Surgery or Downtime;;
154;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/banner_snowflake_physician;banner_snowflake_physician;banner_snowflake_physician.jpg;;;
155;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/folder/banner_snowflake_consumer;banner_snowflake_consumer;banner_snowflake_consumer.jpg;;;
157;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/intl-eng-mastheads/masthead-homepage-beach;Masthead Homepage Beach;masthead-homepage-beach.jpg;Reclaim the real you.;Reclaim;the real you.
158;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/intl-eng-mastheads/masthead-for-women;Masthead For Women;masthead-for-women.jpg;Stubborn fat isn't cool.;Stubborn fat isn't fun.;
159;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/intl-eng-mastheads/masthead-for-men;Masthead For Men;masthead-for-men.jpg;Stubborn fat isn't cool.;Stubborn fat isn't fun.;
4899;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/intl-eng-mastheads/pinch-masthead;Pinch Masthead;pinch-masthead.jpg;;;
4778;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/banner-snowflake-consumer-french;Banner-Snowflake-Consumer-French;banner-snowflake-consumer-french.jpg;;;
4779;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/banner-snowflake-physician-french;Banner-Snowflake-Physician-French;banner-snowflake-physician-french.jpg;;;
4842;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/rsvp-masthead;RSVP Masthead;rsvp-masthead.png;RSVP to this Exclusive Coolsculpting Event;;
4878;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/13-zel-472-consumerimitatormasthead-german;13-ZEL-472-ConsumerImitatorMasthead-German;13-zel-472-consumerimitatormasthead-german.jpg;;;
4879;0;1;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/masthead-images/schneeflocken-sind-einzigartig.-eine-imitation-ist-nicht-moeglich;Schneeflocken sind einzigartig. Eine Imitation ist nicht möglich.;schneeflocken-sind-einzigartig.-eine-imitation-ist-nicht-moeglich.jpg;;;
